genome position gene
g1 20001 0
g1 20002 0
g1 27501 1
g1 27502 1
g1 132501 2
g1 132502 2
g1 140001 3
g1 140002 3
g1 170001 4
g1 170002 4
g1 192501 5
g1 192502 5
g1 207501 6
g1 207502 6
g1 342501 7
g1 342502 7
g1 387501 8
g1 387502 8
g1 455001 9
g1 455002 9
g1 537501 10
g1 537502 10
g1 552501 11
g1 552502 11
g1 567501 12
g1 567502 12
g1 620001 13
g1 620002 13
g1 642501 14
g1 642502 14
g1 650001 15
g1 650002 15
g1 747501 16
g1 747502 16
g1 800001 17
g1 800002 17
g1 920001 18
g1 920002 18
g1 1310001 19
g1 1310002 19
g1 1355001 20
g1 1355002 20
g1 1362501 21
g1 1362502 21
g1 1467501 22
g1 1467502 22
g1 1610001 23
g1 1610002 23
g1 1617501 24
g1 1617502 24
g1 1632501 25
g1 1632502 25
g1 1662501 26
g1 1662502 26
g1 1677501 27
g1 1677502 27
g1 1737501 28
g1 1737502 28
g1 1917501 29
g1 1917502 29
g1 1970001 30
g1 1970002 30
g1 2015001 31
g1 2015002 31
g1 2030001 32
g1 2030002 32
g1 2037501 33
g1 2037502 33
g1 2045001 34
g1 2045002 34
g1 2112501 35
g1 2112502 35
g1 2150001 36
g1 2150002 36
g1 2210001 37
g1 2210002 37
g1 2262501 38
g1 2262502 38
g1 2300001 39
g1 2300002 39
g1 2307501 40
g1 2307502 40
g1 2330001 41
g1 2330002 41
g1 2352501 42
g1 2352502 42
g1 2390001 43
g1 2390002 43
g1 2412501 44
g1 2412502 44
g1 2457501 45
g1 2457502 45
g1 2495001 46
g1 2495002 46
g1 2720001 47
g1 2720002 47
g1 2892501 48
g1 2892502 48
g1 2990001 49
g1 2990002 49
g1 3005001 50
g1 3005002 50
g1 3020001 51
g1 3020002 51
g1 3087501 52
g1 3087502 52
g1 3117501 53
g1 3117502 53
g1 3132501 54
g1 3132502 54
g1 3207501 55
g1 3207502 55
g1 3470001 56
g1 3470002 56
g1 3507501 57
g1 3507502 57
g1 3620001 58
g1 3620002 58
g1 3710001 59
g1 3710002 59
g1 3747501 60
g1 3747502 60
g1 3830001 61
g1 3830002 61
g1 3882501 62
g1 3882502 62
g1 3897501 63
g1 3897502 63
g1 3987501 64
g1 3987502 64
g1 4070001 65
g1 4070002 65
g1 4092501 66
g1 4092502 66
g1 4122501 67
g1 4122502 67
g1 4160001 68
g1 4160002 68
g1 4310001 69
g1 4310002 69
g1 4400001 70
g1 4400002 70
g1 4482501 71
g1 4482502 71
g1 4580001 72
g1 4580002 72
g1 4617501 73
g1 4617502 73
g1 4662501 74
g1 4662502 74
g1 4722501 75
g1 4722502 75
g1 4812501 76
g1 4812502 76
g1 4895001 77
g1 4895002 77
g1 4962501 78
g1 4962502 78
g1 4977501 79
g1 4977502 79
