position select_coef p1_freq p2_freq origin_gen migr_rate mut_rate recomb_rate fitness_width output_gen rep
537501 -0.0677684 0 0.921 1600 1e-05 1e-06 1e-06 5 2500 0
1617502 0.0352013 0.0755 0 2262 1e-05 1e-06 1e-06 5 2500 0
2262502 0.0753502 1 0 771 1e-05 1e-06 1e-06 5 2500 0
2300002 0.00386667 0 0.053 2432 1e-05 1e-06 1e-06 5 2500 0
2307502 0.0735562 0 0.001 2435 1e-05 1e-06 1e-06 5 2500 0
2457501 0.0223591 0 0.0295 2315 1e-05 1e-06 1e-06 5 2500 0
2720001 0.0501354 0.4585 0 1903 1e-05 1e-06 1e-06 5 2500 0
3020001 0.0895874 1 0 154 1e-05 1e-06 1e-06 5 2500 0
3207502 0.0878488 1 0 227 1e-05 1e-06 1e-06 5 2500 0
4092501 0.0103333 0 0.013 2238 1e-05 1e-06 1e-06 5 2500 0
4160002 -0.0809387 0 0.0005 2486 1e-05 1e-06 1e-06 5 2500 0
4812501 -0.0683062 0 0.6325 2289 1e-05 1e-06 1e-06 5 2500 0
537501 -0.0677684 0 1 1600 1e-05 1e-06 1e-06 5 5000 0
1617502 0.0352013 1 0 2262 1e-05 1e-06 1e-06 5 5000 0
1632501 -0.0218831 0 0.6775 3655 1e-05 1e-06 1e-06 5 5000 0
1677502 -0.0471472 0 0.521 4276 1e-05 1e-06 1e-06 5 5000 0
2210001 0.0209263 0.0015 0 4993 1e-05 1e-06 1e-06 5 5000 0
2262502 0.0753502 1 0 771 1e-05 1e-06 1e-06 5 5000 0
2720001 0.0501354 1 0 1903 1e-05 1e-06 1e-06 5 5000 0
3020001 0.0895874 1 0 154 1e-05 1e-06 1e-06 5 5000 0
3207502 0.0878488 1 0 227 1e-05 1e-06 1e-06 5 5000 0
3470002 0.017462 0.0015 0 4997 1e-05 1e-06 1e-06 5 5000 0
3897502 -0.0132441 0.001 0 4997 1e-05 1e-06 1e-06 5 5000 0
3897502 0.0597944 0.796 0 4138 1e-05 1e-06 1e-06 5 5000 0
4122502 -0.00426187 0 0.0005 5000 1e-05 1e-06 1e-06 5 5000 0
4812501 -0.0683062 0 1 2289 1e-05 1e-06 1e-06 5 5000 0
4977502 -0.0175148 0 0.0015 4995 1e-05 1e-06 1e-06 5 5000 0
455002 -0.0161508 0 1 962 1e-05 1e-06 1e-06 5 2500 1
620001 0.143584 1 0 795 1e-05 1e-06 1e-06 5 2500 1
747502 -0.144746 0 0.8095 2151 1e-05 1e-06 1e-06 5 2500 1
1467502 -0.0709209 0 1 616 1e-05 1e-06 1e-06 5 2500 1
1737502 0.1141 1 0 107 1e-05 1e-06 1e-06 5 2500 1
1970001 -0.0968311 0 0.0005 2497 1e-05 1e-06 1e-06 5 2500 1
2015001 0.026948 0.0545 0 1518 1e-05 1e-06 1e-06 5 2500 1
2390002 0.00923482 0 0.0015 2498 1e-05 1e-06 1e-06 5 2500 1
2457502 0.0602636 1 0 297 1e-05 1e-06 1e-06 5 2500 1
2720002 -0.0218458 0.0245 0 2421 1e-05 1e-06 1e-06 5 2500 1
3507502 0.0839077 0 0.0005 2461 1e-05 1e-06 1e-06 5 2500 1
3710002 -0.0648498 0 0.056 2354 1e-05 1e-06 1e-06 5 2500 1
4122501 -0.0544535 0 0.0005 2497 1e-05 1e-06 1e-06 5 2500 1
4122502 0.0723437 1 0 624 1e-05 1e-06 1e-06 5 2500 1
4400001 -0.00992366 0.005 0 2464 1e-05 1e-06 1e-06 5 2500 1
4617501 0.0633206 0 0.0005 2496 1e-05 1e-06 1e-06 5 2500 1
455002 -0.0161508 0 1 962 1e-05 1e-06 1e-06 5 5000 1
567501 0.029308 0.0055 0 4910 1e-05 1e-06 1e-06 5 5000 1
620001 0.143584 1 0 795 1e-05 1e-06 1e-06 5 5000 1
642502 -0.0673787 0 1 2599 1e-05 1e-06 1e-06 5 5000 1
747502 -0.144746 0 1 2151 1e-05 1e-06 1e-06 5 5000 1
1467502 -0.0709209 0 1 616 1e-05 1e-06 1e-06 5 5000 1
1737502 0.1141 1 0 107 1e-05 1e-06 1e-06 5 5000 1
2330001 0.0586069 1 0 2672 1e-05 1e-06 1e-06 5 5000 1
2457502 0.0602636 1 0 297 1e-05 1e-06 1e-06 5 5000 1
2495002 0.0278969 0.001 0 4997 1e-05 1e-06 1e-06 5 5000 1
3087502 -0.0488385 0 1 2899 1e-05 1e-06 1e-06 5 5000 1
3710002 -0.0648498 0 1 2354 1e-05 1e-06 1e-06 5 5000 1
4122502 0.0723437 1 0 624 1e-05 1e-06 1e-06 5 5000 1
