position select_coef p1_freq p2_freq fixed_since migr_rate mut_rate recomb_rate fitness_width output_gen rep
552501 0.013753 2 0 992 1e-05 1e-06 1e-06 25 1000 0
800002 0.00107614 0 4 928 1e-05 1e-06 1e-06 25 1000 0
1355001 0.112433 8 0 970 1e-05 1e-06 1e-06 25 1000 0
2210002 -0.0152341 13 0 989 1e-05 1e-06 1e-06 25 1000 0
2307501 -0.0558743 0 3 997 1e-05 1e-06 1e-06 25 1000 0
3117502 0.00701313 6 0 973 1e-05 1e-06 1e-06 25 1000 0
3747501 0.0313906 261 0 395 1e-05 1e-06 1e-06 25 1000 0
3897501 -0.0352384 0 148 844 1e-05 1e-06 1e-06 25 1000 0
3987501 0.0158039 0 1 999 1e-05 1e-06 1e-06 25 1000 0
4310001 0.022101 7 0 939 1e-05 1e-06 1e-06 25 1000 0
4617502 -0.0250049 46 0 960 1e-05 1e-06 1e-06 25 1000 0
170001 0.00304493 0 172 1794 1e-05 1e-06 1e-06 25 2000 0
207501 -0.0190636 0 49 1918 1e-05 1e-06 1e-06 25 2000 0
1362501 -0.0125275 1 0 1960 1e-05 1e-06 1e-06 25 2000 0
1362502 -0.0933857 0 8 1949 1e-05 1e-06 1e-06 25 2000 0
1467502 -0.0237679 22 0 1972 1e-05 1e-06 1e-06 25 2000 0
2112501 0.123839 219 0 1169 1e-05 1e-06 1e-06 25 2000 0
2112501 0.0174758 36 0 1858 1e-05 1e-06 1e-06 25 2000 0
2210002 0.00735471 0 1 1978 1e-05 1e-06 1e-06 25 2000 0
2390001 0.0859084 4 0 1990 1e-05 1e-06 1e-06 25 2000 0
2990002 -0.0557229 0 21 1960 1e-05 1e-06 1e-06 25 2000 0
3747501 0.0784052 1924 0 1324 1e-05 1e-06 1e-06 25 2000 0
4617502 0.0817178 0 43 1830 1e-05 1e-06 1e-06 25 2000 0
4977501 -0.0515695 2 0 1968 1e-05 1e-06 1e-06 25 2000 0
132501 0.0176391 12 0 2995 1e-05 1e-06 1e-06 25 3000 0
170001 0.00304493 0 510 1794 1e-05 1e-06 1e-06 25 3000 0
642501 0.0263961 9 0 2888 1e-05 1e-06 1e-06 25 3000 0
920001 -0.0575013 1 0 2998 1e-05 1e-06 1e-06 25 3000 0
1362501 -0.0582964 2 0 2999 1e-05 1e-06 1e-06 25 3000 0
1467502 -0.0237679 63 0 1972 1e-05 1e-06 1e-06 25 3000 0
1662502 -0.0296663 10 0 2968 1e-05 1e-06 1e-06 25 3000 0
1970002 -0.112122 9 0 2987 1e-05 1e-06 1e-06 25 3000 0
